sync_index,cam_id,frame_index,frame_time,object_id,keypoint_id,img_loc_x,img_loc_y,obj_loc_x,obj_loc_y,obj_loc_z
35,1,35,1.166667,0,12,582.287354,746.753662,0.050000,0.200000,0.000000
35,1,35,1.166667,0,13,652.862061,728.537292,0.100000,0.200000,0.000000
35,1,35,1.166667,0,14,723.885742,710.833801,0.150000,0.200000,0.000000
35,1,35,1.166667,0,15,792.673218,692.896545,0.200000,0.200000,0.000000
35,1,35,1.166667,0,16,567.132324,681.498535,0.050000,0.250000,0.000000
35,1,35,1.166667,0,17,641.825317,663.680969,0.100000,0.250000,0.000000
35,1,35,1.166667,0,18,712.348267,646.039673,0.150000,0.250000,0.000000
35,1,35,1.166667,0,19,782.155273,629.508850,0.200000,0.250000,0.000000
35,1,35,1.166667,0,20,554.176880,614.727112,0.050000,0.300000,0.000000
35,1,35,1.166667,0,21,630.117676,597.726379,0.100000,0.300000,0.000000
35,1,35,1.166667,0,22,701.285522,581.167419,0.150000,0.300000,0.000000
35,1,35,1.166667,0,23,773.486694,565.237183,0.200000,0.300000,0.000000
40,1,40,1.333333,0,0,621.783203,924.854797,0.050000,0.050000,0.000000
40,1,40,1.333333,0,1,691.997681,905.295349,0.100000,0.050000,0.000000
40,1,40,1.333333,0,2,759.870605,885.578125,0.150000,0.050000,0.000000
40,1,40,1.333333,0,3,823.617310,864.574951,0.200000,0.050000,0.000000
40,1,40,1.333333,0,4,610.159058,863.042603,0.050000,0.100000,0.000000
40,1,40,1.333333,0,5,679.151123,843.896484,0.100000,0.100000,0.000000
40,1,40,1.333333,0,6,748.745361,823.931152,0.150000,0.100000,0.000000
40,1,40,1.333333,0,7,813.282959,805.007385,0.200000,0.100000,0.000000
40,1,40,1.333333,0,8,596.339966,800.275574,0.050000,0.150000,0.000000
40,1,40,1.333333,0,9,668.737305,781.748108,0.100000,0.150000,0.000000
40,1,40,1.333333,0,10,736.105713,762.411499,0.150000,0.150000,0.000000
40,1,40,1.333333,0,11,804.009521,744.519592,0.200000,0.150000,0.000000
40,1,40,1.333333,0,12,583.454468,735.639160,0.050000,0.200000,0.000000
40,1,40,1.333333,0,13,655.480957,717.789246,0.100000,0.200000,0.000000
40,1,40,1.333333,0,14,725.730835,700.201660,0.150000,0.200000,0.000000
40,1,40,1.333333,0,15,793.327637,681.725525,0.200000,0.200000,0.000000
40,1,40,1.333333,0,16,569.505737,670.251831,0.050000,0.250000,0.000000
40,1,40,1.333333,0,17,643.191528,652.766235,0.100000,0.250000,0.000000
40,1,40,1.333333,0,18,714.933105,635.157776,0.150000,0.250000,0.000000
40,1,40,1.333333,0,19,783.664673,617.541321,0.200000,0.250000,0.000000
40,1,40,1.333333,0,20,555.473755,602.902039,0.050000,0.300000,0.000000
40,1,40,1.333333,0,21,630.129272,585.565552,0.100000,0.300000,0.000000
40,1,40,1.333333,0,22,702.815430,568.685669,0.150000,0.300000,0.000000
40,1,40,1.333333,0,23,772.227051,552.478271,0.200000,0.300000,0.000000
45,1,45,1.500000,0,0,626.170654,908.170044,0.050000,0.050000,0.000000
45,1,45,1.500000,0,1,695.092896,891.518616,0.100000,0.050000,0.000000
45,1,45,1.500000,0,2,761.919067,869.099182,0.150000,0.050000,0.000000
45,1,45,1.500000,0,3,827.874634,848.701965,0.200000,0.050000,0.000000
45,1,45,1.500000,0,6,751.498169,808.779846,0.150000,0.100000,0.000000
45,1,45,1.500000,0,7,817.023071,787.883606,0.200000,0.100000,0.000000
45,1,45,1.500000,0,10,740.348877,744.802490,0.150000,0.150000,0.000000
45,1,45,1.500000,0,11,807.053955,726.600159,0.200000,0.150000,0.000000
45,1,45,1.500000,0,12,586.876465,716.705444,0.050000,0.200000,0.000000
45,1,45,1.500000,0,13,658.598511,698.373779,0.100000,0.200000,0.000000
45,1,45,1.500000,0,14,728.758423,680.073608,0.150000,0.200000,0.000000
45,1,45,1.500000,0,15,796.133179,663.072937,0.200000,0.200000,0.000000
45,1,45,1.500000,0,16,572.365479,649.921631,0.050000,0.250000,0.000000
45,1,45,1.500000,0,17,645.420044,632.955139,0.100000,0.250000,0.000000
45,1,45,1.500000,0,18,716.046387,614.949585,0.150000,0.250000,0.000000
45,1,45,1.500000,0,19,785.151855,599.012878,0.200000,0.250000,0.000000
45,1,45,1.500000,0,20,557.883179,582.583435,0.050000,0.300000,0.000000
45,1,45,1.500000,0,21,632.220947,564.914185,0.100000,0.300000,0.000000
45,1,45,1.500000,0,22,704.914917,547.211548,0.150000,0.300000,0.000000
45,1,45,1.500000,0,23,774.587524,532.656738,0.200000,0.300000,0.000000
50,1,50,1.666667,0,2,763.960571,857.236206,0.150000,0.050000,0.000000
50,1,50,1.666667,0,3,828.008667,836.976196,0.200000,0.050000,0.000000
50,1,50,1.666667,0,4,613.893066,833.762573,0.050000,0.100000,0.000000
50,1,50,1.666667,0,5,683.410400,815.206360,0.100000,0.100000,0.000000
50,1,50,1.666667,0,6,751.332397,795.805115,0.150000,0.100000,0.000000
50,1,50,1.666667,0,7,817.612549,775.863831,0.200000,0.100000,0.000000
50,1,50,1.666667,0,8,599.917358,769.647888,0.050000,0.150000,0.000000
50,1,50,1.666667,0,9,671.202026,751.004700,0.100000,0.150000,0.000000
50,1,50,1.666667,0,10,740.697754,732.197815,0.150000,0.150000,0.000000
50,1,50,1.666667,0,11,806.343872,713.365295,0.200000,0.150000,0.000000
50,1,50,1.666667,0,12,586.112305,704.368042,0.050000,0.200000,0.000000
50,1,50,1.666667,0,13,658.155396,685.987915,0.100000,0.200000,0.000000
50,1,50,1.666667,0,14,727.705078,668.189453,0.150000,0.200000,0.000000
50,1,50,1.666667,0,15,794.302734,649.452393,0.200000,0.200000,0.000000
50,1,50,1.666667,0,16,572.101440,637.162292,0.050000,0.250000,0.000000
50,1,50,1.666667,0,17,644.288818,619.502380,0.100000,0.250000,0.000000
50,1,50,1.666667,0,18,714.856079,601.928833,0.150000,0.250000,0.000000
50,1,50,1.666667,0,19,783.793579,585.069763,0.200000,0.250000,0.000000
50,1,50,1.666667,0,20,556.753662,568.985657,0.050000,0.300000,0.000000
50,1,50,1.666667,0,21,629.987671,550.833557,0.100000,0.300000,0.000000
50,1,50,1.666667,0,22,702.972656,534.551147,0.150000,0.300000,0.000000
50,1,50,1.666667,0,23,772.702393,519.126221,0.200000,0.300000,0.000000
55,1,55,1.833333,0,0,625.333618,888.113281,0.050000,0.050000,0.000000
55,1,55,1.833333,0,1,694.481079,872.006104,0.100000,0.050000,0.000000
55,1,55,1.833333,0,2,759.777100,849.034607,0.150000,0.050000,0.000000
55,1,55,1.833333,0,3,826.193604,829.251038,0.200000,0.050000,0.000000
55,1,55,1.833333,0,4,613.466797,825.619080,0.050000,0.100000,0.000000
55,1,55,1.833333,0,5,680.827515,806.846985,0.100000,0.100000,0.000000
55,1,55,1.833333,0,6,749.530029,789.369507,0.150000,0.100000,0.000000
55,1,55,1.833333,0,7,813.507935,767.793884,0.200000,0.100000,0.000000
55,1,55,1.833333,0,8,599.356201,762.691956,0.050000,0.150000,0.000000
55,1,55,1.833333,0,9,670.302124,743.787048,0.100000,0.150000,0.000000
55,1,55,1.833333,0,10,737.581787,724.884155,0.150000,0.150000,0.000000
55,1,55,1.833333,0,11,805.545288,705.998779,0.200000,0.150000,0.000000
55,1,55,1.833333,0,12,585.309082,697.634460,0.050000,0.200000,0.000000
55,1,55,1.833333,0,13,655.008545,678.693848,0.100000,0.200000,0.000000
55,1,55,1.833333,0,14,725.811279,661.826660,0.150000,0.200000,0.000000
55,1,55,1.833333,0,15,794.063110,643.576538,0.200000,0.200000,0.000000
55,1,55,1.833333,0,16,569.632935,630.377991,0.050000,0.250000,0.000000
55,1,55,1.833333,0,17,643.269409,613.185486,0.100000,0.250000,0.000000
55,1,55,1.833333,0,18,712.524048,595.243713,0.150000,0.250000,0.000000
55,1,55,1.833333,0,19,781.561768,580.149292,0.200000,0.250000,0.000000
55,1,55,1.833333,0,20,555.665283,563.219482,0.050000,0.300000,0.000000
55,1,55,1.833333,0,21,630.416992,545.543823,0.100000,0.300000,0.000000
55,1,55,1.833333,0,22,700.443726,529.476074,0.150000,0.300000,0.000000
55,1,55,1.833333,0,23,770.431763,512.617188,0.200000,0.300000,0.000000
60,1,60,2.000000,0,0,624.907837,881.534058,0.050000,0.050000,0.000000
60,1,60,2.000000,0,1,695.218262,863.912537,0.100000,0.050000,0.000000
60,1,60,2.000000,0,2,762.831665,844.039246,0.150000,0.050000,0.000000
60,1,60,2.000000,0,3,825.514038,824.122437,0.200000,0.050000,0.000000
